,Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
79,51,Female,126440,Doctorate,Married,1,Owned,High
80,32,Female,7685,High School Diploma,Single,0,Rented,Low
81,33,Male,92626,Associate's Degree,Single,0,Owned,High
82,27,Female,81878,Associate's Degree,Single,0,Rented,Average
83,35,Female,89370,Doctorate,Married,0,Owned,High
84,44,Male,67173,High School Diploma,Married,2,Owned,High
85,28,Male,28172,Associate's Degree,Single,0,Rented,High
86,47,Male,112043,Bachelor's Degree,Married,1,Owned,High
87,32,Male,101528,High School Diploma,Single,0,Owned,High
88,27,Female,46242,Bachelor's Degree,Single,0,Rented,Low
89,45,Male,102306,Doctorate,Married,1,Owned,High
90,28,Female,109421,Doctorate,Married,1,Owned,High
91,29,Female,37445,Bachelor's Degree,Married,2,Owned,High
92,47,Male,107018,Doctorate,Married,2,Owned,High
93,30,Female,35797,High School Diploma,Single,0,Rented,Average
94,43,Female,95700,Doctorate,Married,1,Owned,High
95,43,Female,88710,Master's Degree,Married,2,Owned,High
96,48,Female,63239,Bachelor's Degree,Married,1,Owned,High
97,46,Male,76852,Doctorate,Married,1,Owned,High
98,25,Female,7828,Bachelor's Degree,Single,0,Rented,Low
99,48,Male,80350,Doctorate,Married,0,Owned,High
100,31,Male,18896,Associate's Degree,Single,0,Rented,Average
101,28,Female,22086,High School Diploma,Single,0,Rented,Low
102,30,Female,39272,High School Diploma,Single,0,Rented,Average
103,49,Female,113824,Master's Degree,Married,1,Owned,High
104,37,Female,72466,Doctorate,Married,1,Owned,High
105,47,Male,114825,Master's Degree,Married,2,Owned,High
106,46,Female,135050,Bachelor's Degree,Married,1,Owned,High
107,37,Female,127726,Master's Degree,Married,0,Owned,High
108,35,Female,50070,Bachelor's Degree,Married,2,Owned,High
109,53,Male,113492,Master's Degree,Married,0,Owned,High
110,28,Female,52094,Associate's Degree,Single,0,Rented,Low
111,44,Female,75706,Doctorate,Married,0,Owned,High
112,53,Male,113071,Bachelor's Degree,Married,3,Owned,High
113,29,Female,46329,Associate's Degree,Single,0,Rented,Average
114,30,Female,13605,High School Diploma,Single,0,Rented,Low
115,46,Male,117460,Doctorate,Married,1,Owned,High
116,49,Female,115507,Doctorate,Married,1,Owned,High
117,31,Female,111878,Master's Degree,Married,2,Owned,High
118,31,Female,50642,High School Diploma,Single,0,Rented,Average
119,35,Male,79829,Bachelor's Degree,Single,0,Rented,Average
120,30,Male,49862,High School Diploma,Single,0,Rented,Average
121,54,Female,118291,Master's Degree,Married,1,Owned,High
122,37,Male,179296,Master's Degree,Married,2,Owned,High
123,30,Female,35139,High School Diploma,Single,0,Rented,Low
124,54,Male,142968,Bachelor's Degree,Married,1,Owned,High
125,47,Female,66896,High School Diploma,Married,2,Owned,High
126,35,Male,103208,Doctorate,Married,0,Owned,High
127,26,Female,45960,Bachelor's Degree,Single,0,Rented,Average
128,30,Female,16119,High School Diploma,Single,0,Rented,Low
129,50,Male,143578,Master's Degree,Married,0,Owned,High
130,27,Male,83787,High School Diploma,Single,0,Rented,High
131,31,Female,15148,Associate's Degree,Single,0,Rented,Low
132,32,Female,56036,Associate's Degree,Single,0,Rented,Average
133,25,Female,39021,Bachelor's Degree,Single,0,Rented,Average
134,47,Male,113892,Master's Degree,Married,1,Owned,High
135,45,Male,105006,Doctorate,Married,1,Owned,High
136,35,Female,24792,High School Diploma,Single,0,Rented,Low
137,27,Female,49459,Associate's Degree,Single,0,Rented,Average
138,31,Male,60844,Associate's Degree,Single,0,Rented,High
139,24,Female,26799,Associate's Degree,Single,0,Rented,Low
140,29,Female,55841,Associate's Degree,Single,0,Rented,Average
141,52,Male,93849,Master's Degree,Married,2,Owned,High
142,47,Female,114155,High School Diploma,Married,2,Owned,High
143,30,Male,22528,Associate's Degree,Single,0,Rented,Average
144,35,Male,122465,Bachelor's Degree,Single,0,Owned,High
145,46,Male,69041,Doctorate,Married,1,Owned,High
146,33,Female,62156,High School Diploma,Single,0,Owned,High
147,31,Male,61017,High School Diploma,Single,0,Rented,Low
148,35,Female,56197,High School Diploma,Single,0,Rented,Low
149,34,Female,60696,High School Diploma,Married,0,Owned,High
150,36,Female,28413,High School Diploma,Single,0,Rented,Average
151,47,Male,143249,Doctorate,Married,1,Owned,High
152,32,Male,46118,Associate's Degree,Single,0,Rented,Low
153,49,Male,148277,Master's Degree,Married,2,Owned,High
154,34,Male,99181,Master's Degree,Married,1,Owned,High
155,49,Male,118451,Doctorate,Married,1,Owned,High
156,47,Male,129102,Master's Degree,Married,1,Owned,High
157,52,Female,83360,Master's Degree,Married,2,Owned,High
158,27,Female,1462,Associate's Degree,Single,0,Rented,Low
159,35,Female,138277,Master's Degree,Single,1,Owned,High
160,46,Male,154913,Master's Degree,Married,2,Owned,High
161,26,Male,45844,Associate's Degree,Single,0,Rented,Average
162,29,Male,28786,High School Diploma,Single,0,Rented,Average
163,36,Female,52288,High School Diploma,Single,0,Rented,High
164,54,Male,147072,Master's Degree,Married,1,Owned,High
165,30,Female,27690,Associate's Degree,Single,0,Rented,Average
166,31,Female,74365,Doctorate,Married,0,Owned,High
167,53,Male,100746,Master's Degree,Married,1,Owned,High
168,45,Female,126013,Doctorate,Married,1,Owned,High
169,32,Male,140890,Bachelor's Degree,Single,0,Owned,High
170,43,Female,26846,Associate's Degree,Single,0,Rented,Low
171,33,Female,58292,Doctorate,Married,1,Owned,High
172,46,Male,94302,Master's Degree,Married,1,Owned,High
173,23,Female,60678,High School Diploma,Single,0,Rented,Low
174,26,Female,49179,Associate's Degree,Single,0,Rented,Average
175,45,Female,119972,Doctorate,Married,1,Owned,High
176,48,Male,95739,Master's Degree,Married,1,Owned,High
177,32,Female,46015,High School Diploma,Single,0,Rented,Low
178,44,Male,61619,Bachelor's Degree,Married,0,Owned,High
179,49,Female,113788,Master's Degree,Married,3,Owned,High
180,47,Female,61813,Master's Degree,Married,2,Owned,High
181,31,Male,60963,High School Diploma,Single,0,Rented,Low
182,51,Male,123483,Doctorate,Married,2,Owned,High
183,35,Male,76060,Bachelor's Degree,Single,0,Owned,High
184,33,Female,107165,Doctorate,Single,0,Owned,High
185,33,Female,29644,High School Diploma,Single,0,Rented,Low
186,46,Male,44723,High School Diploma,Single,0,Owned,Average
187,49,Male,119999,Bachelor's Degree,Married,1,Owned,High
188,30,Female,8217,Associate's Degree,Single,0,Rented,Average
189,32,Female,23530,High School Diploma,Single,0,Rented,Average
190,34,Male,102325,Master's Degree,Married,1,Owned,High
191,26,Female,47659,Bachelor's Degree,Single,0,Rented,Average
192,42,Male,125843,Associate's Degree,Single,0,Owned,High
193,30,Female,75415,High School Diploma,Married,0,Owned,High
194,37,Male,79034,Master's Degree,Single,0,Owned,Average
195,49,Male,97358,Bachelor's Degree,Married,1,Owned,High
196,48,Male,122473,Bachelor's Degree,Married,0,Owned,High
197,31,Female,57464,Associate's Degree,Single,0,Rented,Average
198,29,Female,83317,Bachelor's Degree,Single,0,Rented,Average
199,29,Female,52889,High School Diploma,Single,0,Rented,Low
200,34,Female,42959,Bachelor's Degree,Single,0,Rented,Average
201,32,Female,40736,High School Diploma,Single,0,Rented,Low
202,32,Female,66042,Associate's Degree,Single,0,Rented,Average
203,49,Female,98035,Doctorate,Married,2,Owned,High
204,28,Female,27652,High School Diploma,Single,0,Rented,Average
205,46,Female,46135,High School Diploma,Married,1,Owned,High
206,51,Male,91387,High School Diploma,Married,1,Owned,High
207,28,Male,49713,Bachelor's Degree,Single,0,Rented,Low
208,49,Male,97167,Master's Degree,Married,1,Owned,High
209,51,Female,72744,Bachelor's Degree,Married,0,Owned,High
210,47,Female,36177,Doctorate,Married,2,Owned,High
211,48,Male,115078,Master's Degree,Married,1,Owned,High
212,29,Female,83358,Doctorate,Married,2,Owned,High
213,51,Male,91245,Doctorate,Married,1,Owned,High
214,43,Female,89975,Doctorate,Married,1,Owned,High
215,49,Male,70334,Master's Degree,Married,0,Owned,High
216,43,Male,124053,Master's Degree,Married,1,Owned,High
217,26,Female,16651,Bachelor's Degree,Single,0,Rented,Low
218,30,Male,94918,High School Diploma,Single,0,Rented,High
219,48,Male,95355,Master's Degree,Married,3,Owned,High
220,28,Female,16227,Associate's Degree,Single,0,Rented,Low
221,29,Female,63291,Bachelor's Degree,Single,0,Rented,Average
222,35,Female,82855,Bachelor's Degree,Single,0,Owned,Average
223,30,Female,68009,Bachelor's Degree,Single,1,Owned,High
224,33,Male,61951,Associate's Degree,Single,0,Rented,High
225,33,Male,45216,High School Diploma,Single,0,Rented,Average
226,32,Female,33224,High School Diploma,Single,0,Owned,High
227,25,Male,20362,Associate's Degree,Single,0,Rented,Average
228,23,Male,44910,Associate's Degree,Single,0,Rented,Low
229,29,Female,34435,Bachelor's Degree,Single,0,Rented,Average
230,23,Female,36965,Associate's Degree,Single,0,Rented,Average
231,33,Male,47356,Associate's Degree,Single,0,Rented,Average
232,38,Female,68341,Doctorate,Single,0,Owned,High
233,41,Female,115182,Doctorate,Married,1,Owned,High
234,25,Female,43804,Associate's Degree,Single,0,Rented,Low
235,56,Female,116576,Master's Degree,Married,1,Owned,High
236,33,Female,75119,High School Diploma,Single,0,Owned,Low
237,29,Female,42683,Associate's Degree,Single,0,Rented,Average
238,44,Female,104312,Doctorate,Married,0,Owned,High
239,46,Female,72558,Doctorate,Married,1,Owned,High
240,32,Male,20552,Associate's Degree,Single,0,Rented,Average
241,34,Male,57085,Doctorate,Single,0,Owned,High
242,29,Male,81064,Bachelor's Degree,Single,0,Owned,High
243,25,Female,38900,Associate's Degree,Single,0,Rented,Average
244,46,Male,119081,Master's Degree,Married,1,Owned,High
245,52,Male,130097,Master's Degree,Single,1,Owned,High
246,36,Male,40108,Associate's Degree,Single,0,Rented,Average
247,30,Female,20416,High School Diploma,Single,0,Rented,Low
248,42,Female,75317,Doctorate,Married,1,Owned,High
249,46,Female,71940,Master's Degree,Married,2,Owned,High
250,27,Female,61071,Doctorate,Married,1,Owned,High
251,32,Female,65741,High School Diploma,Single,0,Rented,Low
252,49,Female,136377,Doctorate,Married,0,Owned,High
253,29,Male,79310,High School Diploma,Single,0,Rented,Average
254,31,Female,32481,Associate's Degree,Single,0,Rented,Average
255,34,Female,46264,Bachelor's Degree,Married,2,Owned,High
256,33,Male,131747,Bachelor's Degree,Single,0,Owned,High
257,32,Male,52369,Associate's Degree,Single,0,Rented,Low
258,44,Male,116355,Master's Degree,Married,2,Owned,High
259,46,Female,103183,Master's Degree,Married,1,Owned,High
260,30,Male,55031,Bachelor's Degree,Single,0,Rented,Average
261,44,Male,127300,Doctorate,Married,2,Owned,High
262,37,Female,29378,Doctorate,Married,1,Owned,High
263,42,Female,93709,Bachelor's Degree,Married,1,Owned,High
264,49,Female,136473,Bachelor's Degree,Married,0,Owned,High
265,24,Female,34705,Bachelor's Degree,Single,0,Rented,Average
266,26,Female,34807,High School Diploma,Single,1,Rented,High
267,22,Female,31502,High School Diploma,Single,0,Rented,Low
268,45,Female,110389,Bachelor's Degree,Married,1,Owned,High
269,35,Female,42684,Bachelor's Degree,Single,0,Rented,Average
270,27,Female,47037,High School Diploma,Single,0,Rented,Low
271,27,Female,39801,Bachelor's Degree,Single,0,Rented,Low
272,49,Male,110678,Master's Degree,Single,0,Owned,High
273,52,Female,86303,High School Diploma,Married,2,Owned,High
274,32,Male,156217,Bachelor's Degree,Single,0,Owned,High
275,30,Male,63152,Bachelor's Degree,Single,0,Owned,Average
276,20,Female,9177,High School Diploma,Single,0,Rented,Low
277,50,Female,90139,Master's Degree,Married,1,Owned,High
278,44,Female,152484,Doctorate,Married,1,Owned,High
279,51,Female,99961,Master's Degree,Married,1,Owned,High
280,37,Male,86267,High School Diploma,Single,0,Owned,High
281,29,Female,48414,Associate's Degree,Single,0,Owned,High
282,31,Female,82940,Bachelor's Degree,Single,0,Owned,High
283,33,Female,67415,Associate's Degree,Single,0,Rented,Average
284,25,Female,36338,Bachelor's Degree,Single,0,Rented,Low
285,33,Female,23186,High School Diploma,Single,0,Rented,High
286,35,Female,112300,High School Diploma,Married,1,Owned,High
287,42,Male,121885,Doctorate,Married,1,Owned,High
288,48,Female,113137,Bachelor's Degree,Married,1,Owned,High
289,31,Female,61701,Associate's Degree,Single,0,Rented,Average
290,33,Female,66000,High School Diploma,Single,0,Owned,Average
291,33,Male,73234,High School Diploma,Single,0,Rented,Average
292,34,Female,70843,Associate's Degree,Single,0,Rented,Average
293,50,Female,98508,Bachelor's Degree,Married,0,Owned,High
294,26,Male,54170,Bachelor's Degree,Single,0,Rented,Average
295,25,Female,41936,Associate's Degree,Single,0,Rented,Average
296,49,Male,69056,Master's Degree,Single,0,Owned,Average
297,43,Female,53397,Doctorate,Married,1,Owned,High
298,25,Female,58629,Bachelor's Degree,Single,0,Rented,Average
299,45,Male,57446,Doctorate,Married,2,Owned,High
300,43,Female,109870,Doctorate,Married,0,Owned,High
301,47,Male,102874,Master's Degree,Married,2,Owned,High
302,48,Male,123543,Doctorate,Married,0,Owned,High
303,25,Female,35254,High School Diploma,Single,0,Rented,Low
304,45,Male,139682,Bachelor's Degree,Married,1,Owned,High
305,49,Female,113922,Master's Degree,Married,1,Owned,High
306,29,Female,34871,High School Diploma,Single,0,Rented,Low
307,27,Female,49575,Associate's Degree,Single,0,Rented,Average
308,31,Female,23189,High School Diploma,Single,0,Rented,Low
309,33,Female,72260,Doctorate,Single,0,Owned,High
310,25,Female,50651,Bachelor's Degree,Single,0,Rented,Low
311,34,Male,27452,Associate's Degree,Single,0,Rented,Low
312,44,Male,137340,Doctorate,Married,0,Owned,High
313,27,Female,47062,High School Diploma,Single,0,Owned,Low
314,31,Female,66362,High School Diploma,Single,0,Rented,High
315,24,Female,28989,High School Diploma,Single,0,Rented,Low
316,44,Male,142944,Doctorate,Married,2,Owned,High
317,30,Female,53479,High School Diploma,Single,0,Rented,Low
318,28,Female,50144,Bachelor's Degree,Married,0,Rented,Average
319,33,Male,80032,Bachelor's Degree,Married,1,Owned,High
320,48,Male,117127,Master's Degree,Married,1,Owned,High
321,47,Male,143748,Doctorate,Married,1,Owned,High
322,32,Female,27507,Bachelor's Degree,Single,0,Rented,Low
323,26,Female,20326,High School Diploma,Single,0,Owned,Low
324,33,Male,80193,High School Diploma,Single,0,Rented,Average
325,47,Male,116185,Bachelor's Degree,Married,1,Owned,High
326,50,Female,98132,Master's Degree,Married,2,Owned,High
327,27,Female,31245,Associate's Degree,Single,0,Rented,Average
328,33,Female,66414,Bachelor's Degree,Married,1,Owned,High
329,42,Male,131578,Doctorate,Married,0,Owned,High
330,51,Female,58969,Doctorate,Married,1,Owned,High
331,29,Female,46752,Associate's Degree,Single,0,Rented,Low
332,47,Male,105961,Master's Degree,Married,1,Owned,High
333,54,Female,118456,Doctorate,Married,0,Owned,High
334,32,Female,91810,Doctorate,Married,1,Owned,High
335,47,Male,142628,High School Diploma,Single,2,Owned,High
336,46,Female,139303,Doctorate,Married,1,Owned,High
337,27,Female,21120,High School Diploma,Single,0,Rented,Low
338,30,Female,61687,Doctorate,Married,1,Owned,High
339,45,Male,94471,Master's Degree,Married,0,Owned,High
340,44,Female,144387,Doctorate,Single,2,Owned,High
341,29,Female,6968,High School Diploma,Single,0,Rented,Low
342,49,Male,142575,Master's Degree,Married,3,Owned,High
343,31,Female,62780,Associate's Degree,Married,1,Owned,High
344,28,Female,51051,Doctorate,Single,0,Owned,High
345,33,Male,68405,Bachelor's Degree,Single,0,Owned,High
346,28,Female,44588,Bachelor's Degree,Single,0,Rented,Average
347,37,Female,29702,Associate's Degree,Single,0,Rented,Low
348,26,Female,40718,Bachelor's Degree,Single,0,Rented,Low
349,33,Male,110325,High School Diploma,Single,0,Owned,High
350,47,Female,117134,Doctorate,Married,1,Owned,High
351,50,Female,83721,Master's Degree,Married,2,Owned,High
352,50,Female,101816,Bachelor's Degree,Married,1,Owned,High
353,45,Male,161729,Doctorate,Married,1,Owned,High
354,35,Male,57460,Associate's Degree,Single,0,Rented,Low
355,27,Female,15612,High School Diploma,Single,0,Rented,Low
356,52,Male,94342,Bachelor's Degree,Single,0,Rented,Average
357,46,Female,112522,Doctorate,Married,0,Owned,High
358,27,Female,54986,Bachelor's Degree,Single,0,Rented,Average
359,26,Female,15994,Associate's Degree,Single,0,Rented,Average
360,46,Female,107695,Master's Degree,Married,1,Owned,High
361,24,Female,16347,Associate's Degree,Single,0,Rented,Low
362,27,Male,40464,Associate's Degree,Single,0,Rented,Low
363,27,Female,56959,Bachelor's Degree,Single,0,Rented,Average
364,51,Male,39666,Doctorate,Single,2,Owned,High
365,50,Male,134468,Doctorate,Single,0,Owned,High
366,45,Female,113330,Doctorate,Married,2,Owned,High
367,24,Female,31313,Bachelor's Degree,Single,0,Rented,Low
368,31,Male,69026,High School Diploma,Single,0,Rented,High
369,56,Male,85192,Bachelor's Degree,Married,2,Owned,High
370,25,Female,17514,Associate's Degree,Single,0,Rented,Low
371,47,Male,112627,Master's Degree,Married,1,Owned,High
372,33,Female,49713,Bachelor's Degree,Married,2,Owned,High
373,42,Male,118529,Bachelor's Degree,Married,1,Owned,High
374,52,Female,122795,Bachelor's Degree,Married,2,Owned,High
375,30,Female,20046,Bachelor's Degree,Single,0,Rented,Low
376,35,Female,39573,Doctorate,Married,1,Owned,High
377,28,Female,54046,Bachelor's Degree,Married,2,Owned,High
378,38,Male,152440,Master's Degree,Married,2,Owned,High
379,35,Female,44924,Associate's Degree,Single,0,Rented,Average
380,49,Female,111956,Bachelor's Degree,Married,1,Owned,High
381,48,Male,116081,Master's Degree,Married,1,Owned,High
382,41,Female,55642,Bachelor's Degree,Married,1,Owned,High
383,49,Male,166558,Master's Degree,Married,2,Owned,High
384,36,Male,142366,Master's Degree,Married,0,Owned,High
385,49,Male,112590,Doctorate,Married,3,Owned,High
386,51,Female,68954,Doctorate,Married,0,Owned,High
387,49,Male,125424,Master's Degree,Single,0,Owned,High
388,32,Female,43698,Bachelor's Degree,Single,0,Rented,Average
389,46,Female,127786,Bachelor's Degree,Married,2,Owned,High
390,24,Female,3469,Associate's Degree,Single,0,Rented,Low
391,50,Female,63779,Doctorate,Single,2,Owned,High
392,37,Male,84670,Associate's Degree,Single,0,Rented,Average
393,38,Female,91437,High School Diploma,Single,0,Owned,High
394,25,Female,17164,High School Diploma,Single,0,Rented,Low
395,25,Female,34142,Associate's Degree,Single,0,Rented,Average
396,40,Female,115572,Doctorate,Single,1,Owned,High
397,32,Female,30055,Associate's Degree,Single,0,Rented,Low
398,32,Female,57957,High School Diploma,Single,0,Rented,Average
399,31,Male,31410,Associate's Degree,Single,0,Rented,Low
400,28,Female,34560,Associate's Degree,Single,0,Rented,Average
401,33,Male,88668,Doctorate,Single,2,Owned,High
402,52,Female,100369,Bachelor's Degree,Married,2,Owned,High
403,30,Female,34874,Bachelor's Degree,Single,0,Rented,Low
404,45,Female,136281,Master's Degree,Married,2,Owned,High
405,34,Female,86627,Doctorate,Married,0,Owned,High
406,30,Female,25862,Bachelor's Degree,Single,0,Rented,Low
407,36,Male,85833,Bachelor's Degree,Single,0,Rented,High
408,31,Female,80875,Associate's Degree,Single,0,Owned,Average
409,27,Female,22088,Associate's Degree,Single,0,Rented,Low
410,31,Male,125498,Master's Degree,Single,0,Owned,High
411,34,Male,83922,Bachelor's Degree,Single,0,Owned,Average
412,52,Male,118238,Bachelor's Degree,Married,1,Owned,High
413,27,Female,75709,Associate's Degree,Single,0,Rented,High
414,32,Female,58756,High School Diploma,Single,0,Rented,Low
415,26,Female,35162,Bachelor's Degree,Single,0,Rented,High
416,27,Female,63924,Associate's Degree,Single,0,Rented,Average
417,48,Female,80889,Doctorate,Married,1,Owned,High
418,31,Male,81918,Associate's Degree,Single,0,Rented,Average
419,24,Female,27805,Associate's Degree,Single,0,Rented,Average
420,32,Male,155374,Bachelor's Degree,Married,0,Owned,High
421,29,Female,61525,Associate's Degree,Single,0,Rented,Average
422,47,Female,116995,Doctorate,Married,2,Owned,High
423,27,Female,7939,Bachelor's Degree,Single,0,Rented,Low
424,32,Female,70267,Bachelor's Degree,Married,0,Owned,High
425,33,Male,82984,Master's Degree,Single,0,Rented,High
426,46,Male,121837,Master's Degree,Married,2,Owned,High
427,51,Male,111682,Associate's Degree,Single,2,Owned,High
428,30,Female,30312,High School Diploma,Single,3,Owned,High
429,28,Female,39841,Bachelor's Degree,Single,0,Rented,Average
430,30,Female,78034,Associate's Degree,Single,0,Rented,Average
431,51,Male,124893,Master's Degree,Married,2,Owned,High
432,30,Male,72807,Associate's Degree,Single,0,Rented,Average
433,33,Female,102612,Doctorate,Married,2,Owned,High
434,43,Female,75723,Doctorate,Single,2,Owned,High
435,45,Female,102115,Bachelor's Degree,Single,2,Owned,High
436,34,Female,26155,High School Diploma,Single,0,Owned,High
437,45,Female,108678,Master's Degree,Married,2,Owned,High
438,27,Female,45151,Bachelor's Degree,Single,0,Rented,Average
439,31,Female,47212,High School Diploma,Single,0,Rented,Low
440,31,Female,69609,Bachelor's Degree,Married,1,Owned,High
441,35,Female,128928,Doctorate,Married,1,Owned,High
442,35,Male,72376,High School Diploma,Single,0,Rented,Average
443,32,Female,78784,Bachelor's Degree,Single,0,Rented,Average
444,48,Female,126535,Bachelor's Degree,Married,1,Owned,High
445,45,Female,89883,Bachelor's Degree,Married,1,Owned,High
446,48,Female,134554,Master's Degree,Married,2,Owned,High
447,53,Female,96876,Bachelor's Degree,Married,2,Owned,High
448,45,Male,116740,Master's Degree,Married,1,Owned,High
449,31,Female,-5,High School Diploma,Single,0,Rented,Low
450,38,Male,140167,Bachelor's Degree,Single,0,Owned,High
451,27,Female,25911,Associate's Degree,Single,0,Rented,Low
452,52,Male,113083,Doctorate,Married,0,Owned,High
453,54,Male,125676,High School Diploma,Married,2,Owned,High
454,28,Female,27345,High School Diploma,Single,0,Rented,Average
455,46,Female,127309,Doctorate,Married,1,Owned,High
456,26,Female,41428,Associate's Degree,Single,0,Rented,Average
457,32,Male,56446,Doctorate,Single,0,Owned,High
458,27,Female,63815,Associate's Degree,Single,0,Rented,Low
459,35,Female,53810,Associate's Degree,Single,0,Rented,Low
460,29,Female,32263,High School Diploma,Single,0,Rented,Low
461,23,Female,34881,Associate's Degree,Single,0,Rented,Low
462,27,Female,45279,Associate's Degree,Single,0,Rented,Average
463,27,Female,32957,High School Diploma,Single,0,Rented,Low
464,32,Female,34289,Associate's Degree,Single,0,Rented,Average
465,51,Male,116325,Doctorate,Married,0,Owned,High
466,50,Male,133001,Master's Degree,Married,1,Owned,High
467,28,Female,38222,High School Diploma,Single,0,Rented,Low
468,27,Female,92589,High School Diploma,Married,1,Owned,High
469,29,Female,33470,Associate's Degree,Single,0,Rented,Average
470,27,Female,29290,Bachelor's Degree,Single,0,Rented,Low
471,31,Female,46338,Bachelor's Degree,Single,0,Rented,High
472,44,Male,150879,Master's Degree,Married,2,Owned,High
473,29,Female,58862,High School Diploma,Single,0,Rented,High
474,28,Male,64059,Bachelor's Degree,Single,0,Rented,Low
475,30,Female,56275,High School Diploma,Single,0,Rented,Low
476,47,Female,102127,Doctorate,Married,2,Owned,High
